Question,Label,Tagged
how much wine should be used in simmering Creamsicle® Cocktail??,QTY,how much <ing>wine</ing> should be used in <method>simmering</method> <name>Creamsicle®</name> <name>Cocktail</name> ? ?
How long for cooking pumpkin spice bread?,TIME,How long for cooking <name>pumpkin</name> <name>spice</name> <name>bread</name> ?
"Any good recipes to make white rice, flour and olive oil?",NAME,"Any good recipes to make <ing>white</ing> <ing>rice</ing> , <ing>flour</ing> and <ing>olive</ing> <ing>oil</ing> ?"
what is in Southern-Style Egg Salad?,ING,
what are  interesting Russian recipes to try ?,NAME,what are interesting <type>Russian</type> recipes to try ?
Give me the recipe of preparing the Golden Potato Soup please!?,DIR,Give me the recipe of preparing the <name>Golden</name> <name>Potato</name> <name>Soup</name> please ! ?
What are the basic ingredients in cooking Tofu Vindaloo?,ING,What are the basic ingredients in cooking <name>Tofu</name> <name>Vindaloo</name> ?
Tell me something about banbury tarts?,OBJ,Tell me something about <name>banbury</name> <name>tarts</name> ?
how is the italian biscotti roasted?,DIR,how is the <name>italian</name> <name>biscotti</name> <method>roasted</method> ?
How much milk do I use for Breakfast Cheesecake?,QTY,How much <ing>milk</ing> do I use for <name>Breakfast</name> <name>Cheesecake</name> ?
Guide me to fry crispy marshmallow balls dish.,DIR,Guide me to <method>fry</method> <name>crispy</name> <name>marshmallow</name> <name>balls</name> dish .
How do I bake john's chili perfectly?,DIR,How do I <method>bake</method> <name>john</name> <name>chili</name> perfectly ?
What are some good dishes that I can cook with pepper??,NAME,What are some good dishes that I can cook with <ing>pepper</ing> ? ?
Best Panna Cotta recipe?,ALL,Best <name>Panna</name> <name>Cotta</name> recipe ?
what are the different ways to bake lemon?,NAME,what are the different ways to <method>bake</method> <ing>lemon</ing> ?
Need some help to fry homemade granola bars?,DIR,Need some help to <method>fry</method> <name>homemade</name> <name>granola</name> <name>bars</name> ?
"I have some lemons, what are good recipes to bake with it?",NAME,"I have some <ing>lemons</ing> , what are good recipes to <method>bake</method> with it ?"
Do you know how to grill dish tomato basil towers?,DIR,Do you know how to <method>grill</method> dish <name>tomato</name> <name>basil</name> <name>towers</name> ?
What are some good dishes that I can make with two cloves and shrimp??,NAME,What are some good dishes that I can make with two <ing>cloves</ing> and <ing>shrimp</ing> ? ?
How many cups of butter for roasting Savory Hamburger Supper?,QTY,How many cups of <ing>butter</ing> for <method>roasting</method> <name>Savory</name> <name>Hamburger</name> <name>Supper</name> ?
what are the different ways to prepare mushroom?,NAME,what are the different ways to prepare <ing>mushroom</ing> ?
Instruct me for steaming luau punch.,DIR,Instruct me for <method>steaming</method> <name>luau</name> <name>punch</name> .
Which utensils is required for Chocolate Strawberry Smoothie?,EQUIP,Which utensils is required for <name>Chocolate</name> <name>Strawberry</name> <name>Smoothie</name> ?
Need some help to boil quick salmon piccata dish?,DIR,Need some help to <method>boil</method> <name>quick</name> <name>salmon</name> <name>piccata</name> dish?
Which kitchen devices do you need to simmer Bacon Fries dish?,EQUIP,Which kitchen devices do you need to <method>simmer</method> <name>Bacon</name> <name>Fries</name> dish ?
What are some good dishes that I can fry with green onion??,NAME,What are some good dishes that I can <method>fry</method> with <ing>green</ing> <ing>onion</ing> ? ?
Thai recipes?,NAME,<type>Thai</type> recipes ?
What is the best way for boiling zucchini?,DIR,What is the best way for <method>boiling</method> <ing>zucchini</ing> ?
How do I prepare overnight bubble bread from pear?,DIR,How do I prepare <name>overnight</name> <name>bubble</name> <name>bread</name> from <ing>pear</ing> ?
Nutrition info of dish sylvia's ribs?,NUT,Nutrition info of dish <name>sylvia</name> <name>'s</name> <name>ribs</name> ?
Some Chilean recipes?,NAME,Some <type>Chilean</type> recipes ?
